Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-09-09,2016,9,9,Friday,36,2016-36,33.96,33.96,33.17,33.21,624700,33.21,-0.031213527798327534,34.277857142857144,36.2968
2016-09-12,2016,9,12,Monday,37,2016-37,33.13,33.63,32.93,33.4,529100,33.4,0.005721241994706583,34.17285714285714,36.2318
2016-09-13,2016,9,13,Tuesday,37,2016-37,33.2,33.36,32.64,33.03,527800,33.03,-0.011077926038277175,34.04642857142857,36.168800000000005
2016-09-14,2016,9,14,Wednesday,37,2016-37,33.17,33.47,32.73,32.92,302400,32.92,-0.003330324384405059,33.975,36.1134
2016-09-15,2016,9,15,Thursday,37,2016-37,33.0,33.36,32.55,33.08,327800,33.08,0.0048603788277337134,33.91642857142857,36.0576
2016-09-16,2016,9,16,Friday,37,2016-37,32.99,33.69,32.84,33.53,526100,33.53,0.013603292724722271,33.87357142857143,36.0032
2016-09-19,2016,9,19,Monday,38,2016-38,33.68,34.24,33.66,33.9,559500,33.9,0.011034976440574384,33.83571428571428,35.944
2016-09-20,2016,9,20,Tuesday,38,2016-38,33.87,34.08,33.26,33.7,320400,33.7,-0.0058997272547841595,33.79785714285715,35.8754
2016-09-21,2016,9,21,Wednesday,38,2016-38,33.77,34.98,33.77,34.9,421800,34.9,0.035608330438351654,33.87428571428571,35.8274
2016-09-22,2016,9,22,Thursday,38,2016-38,34.8,35.77,34.8,35.69,449300,35.69,0.02263601909141122,33.99142857142857,35.805
2016-09-23,2016,9,23,Friday,38,2016-38,35.44,35.64,34.86,35.03,430600,35.03,-0.018492571387161427,34.02214285714286,35.757200000000005
2016-09-26,2016,9,26,Monday,39,2016-39,34.85,35.14,34.7,34.91,234900,34.91,-0.0034256047977850868,34.02928571428571,35.702600000000004
2016-09-27,2016,9,27,Tuesday,39,2016-39,34.91,35.67,34.91,35.53,264700,35.53,0.017759923649232734,34.07928571428572,35.6542
2016-09-28,2016,9,28,Wednesday,39,2016-39,35.65,35.99,35.28,35.9,512700,35.9,0.01041381253290763,34.195,35.615
2016-09-29,2016,9,29,Thursday,39,2016-39,35.9,36.31,35.62,35.8,362300,35.8,-0.0027855789573232315,34.38,35.5616
